instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
,,,,,a,1,0.5514,,,,,,,,,0.5514,1,0,3,3,32,1,stimuli/blank.png,fröhlich,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.6436,,,,,,,,,0.6436,1,0,4,4,36,1,stimuli/blank.png,begabt,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.6579,,,,,,,,,0.6579,1,0,5,5,10,1,stimuli/blank.png,aktiv,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,1.0358,,,,,,,,,1.0358,1,0,6,6,17,1,stimuli/blank.png,eitel,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.4341,,,,,,,,,0.4341,1,0,7,7,0,1,stimuli/blank.png,andere,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.6185,,,,,,,,,0.6185,1,0,8,8,27,1,stimuli/blank.png,eigene,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.5474,,,,,,,,,0.5474,1,0,9,9,33,1,stimuli/blank.png,verlogen,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.5914,,,,,,,,,0.5914,1,0,10,10,38,1,stimuli/blank.png,human,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.6509,,,,,,,,,0.6509,1,0,11,11,4,1,stimuli/blank.png,jene,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.4717,,,,,,,,,0.4717,1,0,12,12,21,1,stimuli/blank.png,ich,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.5529,,,,,,,,,0.5529,1,0,13,13,5,1,stimuli/blank.png,meine,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.5342,,,,,,,,,0.5342,1,0,14,14,28,1,stimuli/blank.png,eure,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.6034,,,,,,,,,0.6034,1,0,15,15,34,1,stimuli/blank.png,gerecht,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.6519,,,,,,,,,0.6519,1,0,16,16,12,1,stimuli/blank.png,fröhlich,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.5415,,,,,,,,,0.5415,1,0,17,17,35,1,stimuli/blank.png,träge,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.5517,,,,,,,,,0.5517,1,0,18,18,29,1,stimuli/blank.png,selbst,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.4995,,,,,,,,,0.4995,1,0,19,19,1,1,stimuli/blank.png,ich,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.7013,,,,,,,,,0.7013,1,0,20,20,14,1,stimuli/blank.png,gerecht,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.5064,,,,,,,,,0.5064,1,0,21,21,31,1,stimuli/blank.png,brutal,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,l,1,0.802,,,,,,,,,0.802,1,0,22,22,19,1,stimuli/blank.png,lustlos,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,0,0.602,,,,,,,,,0.602,0,0,23,23,15,1,stimuli/blank.png,träge,l,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
,,,,,a,1,0.5856,,,,,,,,,0.5856,1,0,24,24,25,1,stimuli/blank.png,meine,a,KT12SE,2023-08-28_10h01.01.901,openIAT,2023.1.3,Win32,60.0060006,
