instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,participant,date,expName,psychopyVersion,OS,frameRate,return_tic
,,,,,,,0,-0.474390244,-0.325609756,1,0,0,0.424,button_left,0.424,1,0,14,14,3,1,stimuli/blank.png,mir,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.458536585,-0.323170732,1,0,0,0.465,button_right,0.465,1,0,15,15,33,1,stimuli/blank.png,verlogen,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.454878049,-0.330487805,1,0,0,0.523,button_right,0.523,1,0,16,16,19,1,stimuli/blank.png,lustlos,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.468292683,-0.336585366,1,0,0,0.573,button_left,0.573,1,0,17,17,30,1,stimuli/blank.png,aktiv,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.457317073,-0.319512195,1,0,0,0.617,button_right,0.617,1,0,18,18,8,1,stimuli/blank.png,eure,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.46097561,-0.323170732,1,0,0,0.673,button_right,0.673,1,0,19,19,22,1,stimuli/blank.png,ihr,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.457317073,-0.314634146,1,0,0,0.532,button_right,0.532,1,0,20,20,11,1,stimuli/blank.png,brutal,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.47804878,-0.325609756,1,0,0,0.572,button_left,0.572,1,0,21,21,29,1,stimuli/blank.png,selbst,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.458536585,-0.319512195,1,0,0,0.583,button_right,0.583,1,0,22,22,37,1,stimuli/blank.png,eitel,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.451219512,-0.326829268,1,0,0,1.108,button_right,1.108,1,0,23,23,6,1,stimuli/blank.png,euch,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.457317073,-0.32804878,1,0,0,0.891,button_right,0.891,1,0,24,24,20,1,stimuli/blank.png,andere,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,-0.475609756,-0.330487805,1,0,0,0.565,button_left,0.565,1,0,25,25,7,1,stimuli/blank.png,eigene,a,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.447560976,-0.331707317,1,0,0,0.59,button_right,0.59,1,0,26,26,26,1,stimuli/blank.png,euch,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
,,,,,,,0,0.457317073,-0.32804878,1,0,0,0.649,button_right,0.649,1,0,27,27,2,1,stimuli/blank.png,ihr,l,SN07SR,2023-08-06_20h34.57.337,openIAT,2023.1.3,MacIntel,55.55555556,
