"vpncode","nlt_1","nlt_2","nlt_3","nlt_4","nlt_5","nlt_6","nlt_7","nlt_8","nlt_9","nlt_10","nlt_11","nlt_12","nlt_13","nlt_14","nlt_15","nlt_16","nlt_17","nlt_18","nlt_19","nlt_20","nlt_21","nlt_22","nlt_23","nlt_24","nlt_25","nlt_26","initial","nlt_1_noni","nlt_2_noni","nlt_3_noni","nlt_4_noni","nlt_5_noni","nlt_6_noni","nlt_7_noni","nlt_8_noni","nlt_9_noni","nlt_10_noni","nlt_11_noni","nlt_12_noni","nlt_13_noni","nlt_14_noni","nlt_15_noni","nlt_16_noni","nlt_17_noni","nlt_18_noni","nlt_19_noni","nlt_20_noni","nlt_21_noni","nlt_22_noni","nlt_23_noni","nlt_24_noni","nlt_25_noni","nlt_26_noni","initial_r","initial_r1","initial_r2","initial_r3","initial_r4","mean_noni","nlt_1_sub","nlt_2_sub","nlt_3_sub","nlt_4_sub","nlt_5_sub","nlt_6_sub","nlt_7_sub","nlt_8_sub","nlt_9_sub","nlt_10_sub","nlt_11_sub","nlt_12_sub","nlt_13_sub","nlt_14_sub","nlt_15_sub","nlt_16_sub","nlt_17_sub","nlt_18_sub","nlt_19_sub","nlt_20_sub","nlt_21_sub","nlt_22_sub","nlt_23_sub","nlt_24_sub","nlt_25_sub","nlt_26_sub","ipf1","ipf2","ipf3","ipf4","ipf5","score"
"DN12TO",4,2,2,4,2,1,4,5,5,4,4,4,4,3,4,2,2,4,4,4,4,3,4,2,4,1,"JK",4,2,2,4,2,1,4,5,5,4,NA,4,4,3,4,2,2,4,4,4,4,3,4,2,4,1,"JK","J","K","","",3.28,0.72,-1.28,-1.28,0.72,-1.28,-2.28,0.72,1.72,1.72,0.72,0.72,0.72,0.72,-0.28,0.72,-1.28,-1.28,0.72,0.72,0.72,0.72,-0.28,0.72,-1.28,0.72,-2.28,3.99623506927855,4.1142474916388,NA,NA,NA,4.05524128045867
"SB02CR",4,3,4,2,2,2,4,2,2,2,2,4,4,2,2,3,2,4,4,2,2,2,2,2,2,2,"PK",4,3,4,2,2,2,4,2,2,2,NA,4,4,2,2,3,2,4,4,2,2,2,2,2,2,2,"PK","P","K","","",2.64,1.36,0.36,1.36,-0.64,-0.64,-0.64,1.36,-0.64,-0.64,-0.64,-0.64,1.36,1.36,-0.64,-0.64,0.36,-0.64,1.36,1.36,-0.64,-0.64,-0.64,-0.64,-0.64,-0.64,-0.64,3.10803631151457,2.1142474916388,NA,NA,NA,2.61114190157668
"YO06RL",3,2,3,4,4,4,3,2,2,4,3,3,4,4,3,3,2,2,4,3,3,3,3,4,4,3,"JMA",NA,2,3,4,4,4,3,2,2,4,3,3,4,4,3,3,2,2,4,3,3,3,3,4,4,3,"JMA","J","M","A","",3.16,-0.16,-1.16,-0.16,0.84,0.84,0.84,-0.16,-1.16,-1.16,0.84,-0.16,-0.16,0.84,0.84,-0.16,-0.16,-1.16,-1.16,0.84,-0.16,-0.16,-0.16,-0.16,0.84,0.84,-0.16,3.99623506927855,3.03350215002389,2.13288103201147,NA,NA,3.0542060837713
"AN09RO",4,5,3,2,4,2,4,2,4,5,3,3,5,4,5,1,4,2,2,2,3,5,2,4,4,4,"VS",4,5,3,2,4,2,4,2,4,5,3,3,5,4,5,1,4,2,NA,2,3,5,2,4,4,4,"VS","V","S","","",3.44,0.56,1.56,-0.44,-1.44,0.56,-1.44,0.56,-1.44,0.56,1.56,-0.44,-0.44,1.56,0.56,1.56,-2.44,0.56,-1.44,-1.44,-1.44,-0.44,1.56,-1.44,0.56,0.56,0.56,5.36269469660774,1.24468227424749,NA,NA,NA,3.30368848542762
"CR08LR",4,3,1,5,5,4,4,2,4,5,2,4,3,2,3,2,1,1,3,1,2,1,1,1,1,1,"JSJ",4,3,1,5,5,4,4,2,4,NA,2,4,3,2,3,2,1,1,3,1,2,1,1,1,1,1,"JSJ","J","S","J","",2.44,1.56,0.56,-1.44,2.56,2.56,1.56,1.56,-0.44,1.56,2.56,-0.44,1.56,0.56,-0.44,0.56,-0.44,-1.44,-1.44,0.56,-1.44,-0.44,-1.44,-1.44,-1.44,-1.44,-1.44,4.99623506927855,2.24468227424749,4.99623506927855,NA,NA,4.0790508042682
"AN02XX",4,1,3,3,2,2,1,2,3,3,3,2,5,5,4,3,3,4,4,4,1,1,2,3,5,5,"YP",4,1,3,3,2,2,1,2,3,3,3,2,5,5,4,NA,3,4,4,4,1,1,2,3,5,5,"YP","Y","P","","",3,1,-2,0,0,-1,-1,-2,-1,0,0,0,-1,2,2,1,0,0,1,1,1,-2,-2,-1,0,2,2,5.29437171524128,3.10803631151457,NA,NA,NA,4.20120401337793
"BA03RG",2,5,4,5,3,2,2,2,4,3,2,5,4,3,5,3,2,2,5,3,2,2,2,3,2,2,"LMP",2,5,4,5,3,2,2,2,4,3,2,5,4,3,5,NA,2,2,5,3,2,2,2,3,2,2,"LMP","L","M","P","",3.04,-1.04,1.96,0.96,1.96,-0.04,-1.04,-1.04,-1.04,0.96,-0.04,-1.04,1.96,0.96,-0.04,1.96,-0.04,-1.04,-1.04,1.96,-0.04,-1.04,-1.04,-1.04,-0.04,-1.04,-1.04,4.73536550406116,3.03350215002389,3.10803631151457,NA,NA,3.62563465519987
"EK01GO",5,4,2,4,5,3,5,3,1,5,2,4,5,5,2,2,1,2,2,4,4,5,5,2,2,4,"LF",5,4,2,4,5,NA,5,3,1,5,2,4,5,5,2,2,1,2,2,4,4,5,5,2,2,4,"LF","L","F","","",3.4,1.6,0.6,-1.4,0.6,1.6,-0.4,1.6,-0.4,-2.4,1.6,-1.4,0.6,1.6,1.6,-1.4,-1.4,-2.4,-1.4,-1.4,0.6,0.6,1.6,1.6,-1.4,-1.4,0.6,3.73536550406116,3.39996177735308,NA,NA,NA,3.56766364070712
"MR03TO",3,4,4,3,3,3,4,3,3,4,3,2,4,3,3,3,4,4,4,2,2,3,3,3,4,3,"CVC",3,4,NA,3,3,3,4,3,3,4,3,2,4,3,3,3,4,4,4,2,2,3,3,3,4,3,"CVC","C","V","C","",3.2,-0.2,0.8,0.8,-0.2,-0.2,-0.2,0.8,-0.2,-0.2,0.8,-0.2,-1.2,0.8,-0.2,-0.2,-0.2,0.8,0.8,0.8,-1.2,-1.2,-0.2,-0.2,-0.2,0.8,-0.2,4.18878165312948,3.36269469660774,4.18878165312948,NA,NA,3.9134193342889
"PT09MS",4,4,2,3,3,3,3,4,3,4,3,3,4,2,4,3,1,3,3,2,3,4,1,1,1,4,"ZMFV",4,4,2,3,3,3,3,4,3,4,3,3,4,2,4,3,1,3,3,2,3,NA,1,1,1,4,"ZMFV","Z","M","F","V",2.84,1.16,1.16,-0.84,0.16,0.16,0.16,0.16,1.16,0.16,1.16,0.16,0.16,1.16,-0.84,1.16,0.16,-1.84,0.16,0.16,-0.84,0.16,1.16,-1.84,-1.84,-1.84,1.16,4.03971333014811,3.03350215002389,3.39996177735308,4.36269469660774,NA,3.70896798853321
"AG06DE",5,5,3,4,4,2,2,2,5,2,4,4,5,5,5,5,4,2,3,2,4,4,4,5,5,3,"AK",5,5,3,4,4,2,2,2,5,2,NA,4,5,5,5,5,4,2,3,2,4,4,4,5,5,3,"AK","A","K","","",3.76,1.24,1.24,-0.76,0.24,0.24,-1.76,-1.76,-1.76,1.24,-1.76,0.24,0.24,1.24,1.24,1.24,1.24,0.24,-1.76,-0.76,-1.76,0.24,0.24,0.24,1.24,1.24,-0.76,4.13288103201147,4.1142474916388,NA,NA,NA,4.12356426182513
"EI11CR",2,4,3,3,3,2,2,3,1,1,2,2,3,2,4,2,3,3,4,2,2,2,3,4,1,2,"IR",2,4,3,3,3,2,2,3,1,1,2,2,3,2,4,2,3,NA,4,2,2,2,3,4,1,2,"IR","I","R","","",2.48,-0.48,1.52,0.52,0.52,0.52,-0.48,-0.48,0.52,-1.48,-1.48,-0.48,-0.48,0.52,-0.48,1.52,-0.48,0.52,0.52,1.52,-0.48,-0.48,-0.48,0.52,1.52,-1.48,-0.48,1.26952699474439,3.1949928332537,NA,NA,NA,2.23225991399904
"KT04MT",2,3,5,3,2,1,3,2,3,3,4,2,4,3,4,3,3,2,4,2,4,2,4,3,2,2,"P.M.P.",2,3,5,3,2,1,3,2,3,3,4,2,4,3,4,NA,3,2,4,2,4,2,4,3,2,2,"PMP","P","M","P","",2.88,-0.88,0.12,2.12,0.12,-0.88,-1.88,0.12,-0.88,0.12,0.12,1.12,-0.88,1.12,0.12,1.12,0.12,0.12,-0.88,1.12,-0.88,1.12,-0.88,1.12,0.12,-0.88,-0.88,3.10803631151457,3.03350215002389,3.10803631151457,NA,NA,3.08319159101768
"SL06GR",4,2,4,4,3,2,4,3,2,3,2,4,4,4,4,4,1,2,3,3,4,4,4,3,2,3,"CM",4,2,4,4,3,2,4,3,2,3,2,4,NA,4,4,4,1,2,3,3,4,4,4,3,2,3,"CM","C","M","","",3.12,0.88,-1.12,0.88,0.88,-0.12,-1.12,0.88,-0.12,-1.12,-0.12,-1.12,0.88,0.88,0.88,0.88,0.88,-2.12,-1.12,-0.12,-0.12,0.88,0.88,0.88,-0.12,-1.12,-0.12,4.18878165312948,3.03350215002389,NA,NA,NA,3.61114190157668
"JD08AD",5,1,1,3,4,4,4,4,1,3,1,1,4,4,4,4,1,5,3,3,1,1,1,1,1,1,"A R",5,1,1,3,4,4,4,4,1,3,1,1,4,4,4,4,1,NA,3,3,1,1,1,1,1,1,"AR","A","R","","",2.44,2.56,-1.44,-1.44,0.56,1.56,1.56,1.56,1.56,-1.44,0.56,-1.44,-1.44,1.56,1.56,1.56,1.56,-1.44,2.56,0.56,0.56,-1.44,-1.44,-1.44,-1.44,-1.44,-1.44,4.13288103201147,5.1949928332537,NA,NA,NA,4.66393693263258
"SN07SR",4,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,1,1,4,3,2,2,1,1,1,2,"SMK",4,2,3,2,2,2,2,2,2,2,NA,2,3,2,2,2,1,1,4,3,2,2,1,1,1,2,"SMK","S","M","K","",2.08,1.92,-0.0800000000000001,0.92,-0.0800000000000001,-0.0800000000000001,-0.0800000000000001,-0.0800000000000001,-0.0800000000000001,-0.0800000000000001,-0.0800000000000001,-0.0800000000000001,-0.0800000000000001,0.92,-0.0800000000000001,-0.0800000000000001,-0.0800000000000001,-1.08,-1.08,1.92,0.92,-0.0800000000000001,-0.0800000000000001,-1.08,-1.08,-1.08,-0.0800000000000001,3.24468227424749,2.03350215002389,2.1142474916388,NA,NA,2.46414397197006
"SS12GA",5,1,1,1,5,1,1,1,1,4,1,1,1,1,4,1,1,1,5,1,1,1,1,1,1,1,"ACS",5,1,1,1,5,1,1,1,1,4,1,1,1,1,4,1,1,1,NA,1,1,1,1,1,1,1,"ACS","A","C","S","",1.56,3.44,-0.56,-0.56,-0.56,3.44,-0.56,-0.56,-0.56,-0.56,2.44,-0.56,-0.56,-0.56,-0.56,2.44,-0.56,-0.56,-0.56,3.44,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,4.13288103201147,1.18878165312948,4.24468227424749,NA,NA,3.18878165312948
"OG01SR",5,4,4,3,4,2,2,2,3,4,5,5,5,4,4,1,1,5,3,2,3,3,2,1,1,1,"LK",5,4,4,3,4,2,2,2,3,4,NA,5,5,4,4,1,1,5,3,2,3,3,2,1,1,1,"LK","L","K","","",2.96,2.04,1.04,1.04,0.04,1.04,-0.96,-0.96,-0.96,0.04,1.04,2.04,2.04,2.04,1.04,1.04,-1.96,-1.96,2.04,0.04,-0.96,0.04,0.04,-0.96,-1.96,-1.96,-1.96,4.73536550406116,5.1142474916388,NA,NA,NA,4.92480649784998
"MR01DM",5,4,5,3,3,1,1,1,1,1,3,4,5,3,3,3,1,1,5,1,1,3,1,1,1,4,"C.M.P. ",5,4,5,3,3,1,1,1,1,1,3,4,5,3,3,NA,1,1,5,1,1,3,1,1,1,4,"CMP","C","M","P","",2.48,2.52,1.52,2.52,0.52,0.52,-1.48,-1.48,-1.48,-1.48,-1.48,0.52,1.52,2.52,0.52,0.52,0.52,-1.48,-1.48,2.52,-1.48,-1.48,0.52,-1.48,-1.48,-1.48,1.52,5.18878165312948,4.03350215002389,3.10803631151457,NA,NA,4.11010670488931
"AJ11OA",3,4,2,2,1,1,3,4,2,1,1,4,2,2,4,4,3,4,2,4,2,2,2,4,1,2,"L.S.",3,4,2,2,1,1,3,4,2,1,1,4,2,2,4,4,3,4,NA,4,2,2,2,4,1,2,"LS","L","S","","",2.56,0.44,1.44,-0.56,-0.56,-1.56,-1.56,0.44,1.44,-0.56,-1.56,-1.56,1.44,-0.56,-0.56,1.44,1.44,0.44,1.44,-0.56,1.44,-0.56,-0.56,-0.56,1.44,-1.56,-0.56,3.73536550406116,1.24468227424749,NA,NA,NA,2.49002388915432
"MR06WL",5,2,5,2,1,2,3,1,1,1,5,1,3,1,1,1,4,1,3,1,1,1,2,1,1,2,"SACF",5,2,5,2,1,NA,3,1,1,1,5,1,3,1,1,1,4,1,3,1,1,1,2,1,1,2,"SACF","S","A","C","F",2,3,0,3,0,-1,0,1,-1,-1,-1,3,-1,1,-1,-1,-1,2,-1,1,-1,-1,-1,0,-1,-1,0,2.24468227424749,4.13288103201147,5.18878165312948,2.39996177735308,NA,3.49157668418538
"TN10PS",4,4,3,2,1,1,5,2,5,5,5,4,4,4,5,3,1,1,4,2,2,2,5,5,1,4,"JB",4,NA,3,2,1,1,5,2,5,5,5,4,4,4,5,3,1,1,4,2,2,2,5,5,1,4,"JB","J","B","","",3.2,0.8,0.8,-0.2,-1.2,-2.2,-2.2,1.8,-1.2,1.8,1.8,1.8,0.8,0.8,0.8,1.8,-0.2,-2.2,-2.2,0.8,-1.2,-1.2,-1.2,1.8,1.8,-2.2,0.8,4.99623506927855,3.73536550406116,NA,NA,NA,4.36580028666985
"SM02RU",2,5,4,5,2,1,4,2,4,5,1,2,5,3,5,4,3,2,5,2,4,2,4,1,1,5,"LSO",2,5,4,5,2,1,4,2,4,5,1,2,5,3,NA,4,3,2,5,2,4,2,4,1,1,5,"LSO","L","S","O","",3.12,-1.12,1.88,0.88,1.88,-1.12,-2.12,0.88,-1.12,0.88,1.88,-2.12,-1.12,1.88,-0.12,1.88,0.88,-0.12,-1.12,1.88,-1.12,0.88,-1.12,0.88,-2.12,-2.12,1.88,1.73536550406116,4.24468227424749,4.7477878643096,NA,NA,3.57594521420608
"FA07OA",5,3,2,4,4,4,5,3,2,2,2,3,4,3,4,0,4,4,4,2,2,3,4,3,2,3,"AKR",5,3,2,4,4,4,5,3,2,2,2,3,4,3,4,0,4,NA,4,2,2,3,4,3,2,3,"AKR","A","K","R","",3.08,1.92,-0.0800000000000001,-1.08,0.92,0.92,0.92,1.92,-0.0800000000000001,-1.08,-1.08,-1.08,-0.0800000000000001,0.92,-0.0800000000000001,0.92,-3.08,0.92,0.92,0.92,-1.08,-1.08,-0.0800000000000001,0.92,-0.0800000000000001,-1.08,-0.0800000000000001,4.13288103201147,2.1142474916388,4.1949928332537,NA,NA,3.48070711896799
"NN01SS",4,3,5,3,3,3,3,3,3,3,4,4,3,3,3,3,3,4,3,3,3,4,3,3,3,3,"EW",4,3,5,3,3,3,3,3,3,3,4,4,3,3,3,3,3,4,3,3,3,4,NA,3,3,3,"EW","E","W","","",3.28,0.72,-0.28,1.72,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,0.72,0.72,-0.28,-0.28,-0.28,-0.28,-0.28,0.72,-0.28,-0.28,-0.28,0.72,-0.28,-0.28,-0.28,-0.28,2.77884376493072,3.18878165312948,NA,NA,NA,2.9838127090301
"GB10TO",4,4,4,4,2,2,4,4,4,4,3,2,2,2,4,4,4,3,2,4,4,3,2,3,3,3,"MJM",4,4,4,4,2,2,4,4,4,4,3,2,NA,2,4,4,4,3,2,4,4,3,2,3,3,3,"MJM","M","J","M","",3.28,0.72,0.72,0.72,0.72,-1.28,-1.28,0.72,0.72,0.72,0.72,-0.28,-1.28,-1.28,-1.28,0.72,0.72,0.72,-0.28,-1.28,0.72,0.72,-0.28,-1.28,-0.28,-0.28,-0.28,1.03350215002389,3.99623506927855,1.03350215002389,NA,NA,2.02107978977544
"NT09TO",5,5,4,5,4,4,5,4,5,5,3,4,4,4,5,4,3,3,4,3,4,3,3,4,3,4,"A.J.P.",5,5,4,5,4,4,5,4,5,5,3,4,4,4,5,NA,3,3,4,3,4,3,3,4,3,4,"AJP","A","J","P","",4,1,1,0,1,0,0,1,0,1,1,-1,0,0,0,1,0,-1,-1,0,-1,0,-1,-1,0,-1,0,4.13288103201147,4.99623506927855,4.10803631151457,NA,NA,4.41238413760153
"DR11KA",4,4,3,3,3,3,3,4,3,3,3,4,4,3,3,2,4,2,3,2,4,3,3,3,2,2,"LDD",4,4,3,NA,3,3,3,4,3,3,3,4,4,3,3,2,4,2,3,2,4,3,3,3,2,2,"LDD","L","D","D","",3.08,0.92,0.92,-0.0800000000000001,-0.0800000000000001,-0.0800000000000001,-0.0800000000000001,-0.0800000000000001,0.92,-0.0800000000000001,-0.0800000000000001,-0.0800000000000001,0.92,0.92,-0.0800000000000001,-0.0800000000000001,-1.08,0.92,-1.08,-0.0800000000000001,-1.08,0.92,-0.0800000000000001,-0.0800000000000001,-0.0800000000000001,-1.08,-1.08,3.73536550406116,2.79126612517917,2.79126612517917,NA,NA,3.10596591813983
"HI09HR",4,4,2,4,3,3,4,4,4,1,2,2,4,3,2,5,2,3,4,3,3,2,3,2,1,1,"PAG",4,4,2,4,3,3,NA,4,4,1,2,2,4,3,2,5,2,3,4,3,3,2,3,2,1,1,"PAG","P","A","G","",2.84,1.16,1.16,-0.84,1.16,0.16,0.16,1.16,1.16,1.16,-1.84,-0.84,-0.84,1.16,0.16,-0.84,2.16,-0.84,0.16,1.16,0.16,0.16,-0.84,0.16,-0.84,-1.84,-1.84,5.10803631151457,3.13288103201147,4.01486860965122,NA,NA,4.08526198439242
"FA12CR",4,3,3,2,3,2,3,2,2,1,3,3,4,2,2,2,4,3,4,3,4,4,4,4,4,4,"C.L.E.",4,3,3,2,NA,2,3,2,2,1,3,3,4,2,2,2,4,3,4,3,4,4,4,4,4,4,"CLE","C","L","E","",3.04,0.96,-0.04,-0.04,-1.04,-0.04,-1.04,-0.04,-1.04,-1.04,-2.04,-0.04,-0.04,0.96,-1.04,-1.04,-1.04,0.96,-0.04,0.96,-0.04,0.96,0.96,0.96,0.96,0.96,0.96,3.18878165312948,2.73536550406116,2.77884376493072,NA,NA,2.90099697404045
"SS12DR",4,3,4,2,4,3,3,3,2,2,3,4,5,4,4,2,2,4,3,5,3,3,3,4,2,4,"TS",4,3,4,2,4,3,3,3,2,2,3,4,5,4,4,2,2,4,NA,5,3,3,3,4,2,4,"TS","T","S","","",3.28,0.72,-0.28,0.72,-1.28,0.72,-0.28,-0.28,-0.28,-1.28,-1.28,-0.28,0.72,1.72,0.72,0.72,-1.28,-1.28,0.72,-0.28,1.72,-0.28,-0.28,-0.28,0.72,-1.28,0.72,5.13909221213569,2.24468227424749,NA,NA,NA,3.69188724319159
"CR10TO",4,3,2,3,4,2,3,4,5,4,2,4,3,4,3,2,1,2,4,4,5,4,2,3,5,2,"STDS",4,3,2,3,4,2,3,4,5,4,2,4,3,4,3,2,1,2,NA,4,5,4,2,3,5,2,"STDS","S","T","D","S",3.2,0.8,-0.2,-1.2,-0.2,0.8,-1.2,-0.2,0.8,1.8,0.8,-1.2,0.8,-0.2,0.8,-0.2,-1.2,-2.2,-1.2,0.8,0.8,1.8,0.8,-1.2,-0.2,1.8,-1.2,3.24468227424749,4.13909221213569,2.79126612517917,3.24468227424749,NA,3.35493072145246
"LD11VK",5,4,4,5,4,4,3,5,2,2,3,5,4,5,3,3,1,4,4,4,1,1,4,2,1,2,"NW",5,4,4,5,4,4,3,5,2,2,3,5,4,5,3,3,1,4,4,4,1,1,NA,2,1,2,"NW","N","W","","",3.24,1.76,0.76,0.76,1.76,0.76,0.76,-0.24,1.76,-1.24,-1.24,-0.24,1.76,0.76,1.76,-0.24,-0.24,-2.24,0.76,0.76,0.76,-2.24,-2.24,0.76,-1.24,-2.24,-1.24,4.69809842331581,4.18878165312948,NA,NA,NA,4.44344003822265
"KR01DS",4,2,4,3,3,2,2,3,3,3,2,3,4,4,4,3,3,2,3,3,4,4,4,4,2,2,"J.S.K",4,2,4,3,3,2,2,3,3,3,NA,3,4,4,4,3,3,2,3,3,4,4,4,4,2,2,"JSK","J","S","K","",3.12,0.88,-1.12,0.88,-0.12,-0.12,-1.12,-1.12,-0.12,-0.12,-0.12,-1.12,-0.12,0.88,0.88,0.88,-0.12,-0.12,-1.12,-0.12,-0.12,0.88,0.88,0.88,0.88,-1.12,-1.12,2.99623506927855,2.24468227424749,2.1142474916388,NA,NA,2.45172161172161
"KR09AE",5,2,4,3,5,4,3,4,4,3,2,4,5,5,3,3,3,0,2,4,3,5,3,2,4,4,"AM",5,2,4,3,5,4,3,4,4,3,2,4,NA,5,3,3,3,0,2,4,3,5,3,2,4,4,"AM","A","M","","",3.36,1.64,-1.36,0.64,-0.36,1.64,0.64,-0.36,0.64,0.64,-0.36,-1.36,0.64,1.64,1.64,-0.36,-0.36,-0.36,-3.36,-1.36,0.64,-0.36,1.64,-0.36,-1.36,0.64,0.64,4.13288103201147,4.03350215002389,NA,NA,NA,4.08319159101768
"SL09MC",5,3,3,3,3,3,3,5,5,3,3,3,5,3,5,3,3,3,3,5,5,5,5,5,5,3,"ND",5,3,3,NA,3,3,3,5,5,3,3,3,5,3,5,3,3,3,3,5,5,5,5,5,5,3,"ND","N","D","","",3.88,1.12,-0.88,-0.88,-0.88,-0.88,-0.88,-0.88,1.12,1.12,-0.88,-0.88,-0.88,1.12,-0.88,1.12,-0.88,-0.88,-0.88,-0.88,1.12,1.12,1.12,1.12,1.12,1.12,-0.88,2.69809842331581,2.79126612517917,NA,NA,NA,2.74468227424749
"BT09VL",5,5,2,2,5,1,1,4,4,2,1,4,5,3,3,2,1,1,1,1,1,1,3,2,2,1,"EL",5,5,2,2,5,1,1,4,4,2,1,NA,5,3,3,2,1,1,1,1,1,1,3,2,2,1,"EL","E","L","","",2.36,2.64,2.64,-0.36,-0.36,2.64,-1.36,-1.36,1.64,1.64,-0.36,-1.36,1.64,2.64,0.64,0.64,-0.36,-1.36,-1.36,-1.36,-1.36,-1.36,-1.36,0.64,-0.36,-0.36,-1.36,4.77884376493072,3.73536550406116,NA,NA,NA,4.25710463449594
"SM01MR",5,2,4,2,3,4,1,4,3,5,4,5,5,5,2,3,3,3,4,4,2,3,1,3,2,4,"JLF",5,2,4,2,3,NA,1,4,3,5,4,5,5,5,2,3,3,3,4,4,2,3,1,3,2,4,"JLF","J","L","F","",3.28,1.72,-1.28,0.72,-1.28,-0.28,0.72,-2.28,0.72,-0.28,1.72,0.72,1.72,1.72,1.72,-1.28,-0.28,-0.28,-0.28,0.72,0.72,-1.28,-0.28,-2.28,-0.28,-1.28,0.72,4.99623506927855,4.73536550406116,4.39996177735308,NA,NA,4.71052078356426
"DR07EA",4,4,2,4,2,3,4,5,3,4,2,4,5,3,5,4,1,4,5,4,5,3,4,5,5,4,"DG",4,4,2,4,2,3,NA,5,3,4,2,4,5,3,5,4,1,4,5,4,5,3,4,5,5,4,"DG","D","G","","",3.76,0.24,0.24,-1.76,0.24,-1.76,-0.76,0.24,1.24,-0.76,0.24,-1.76,0.24,1.24,-0.76,1.24,0.24,-2.76,0.24,1.24,0.24,1.24,-0.76,0.24,1.24,1.24,0.24,3.79126612517917,4.01486860965122,NA,NA,NA,3.90306736741519
"BT02IG",5,5,3,5,4,3,4,3,2,3,1,5,5,5,3,4,1,2,4,3,4,5,5,5,5,3,"J.N.S.",5,5,3,5,4,3,4,3,2,3,1,5,5,5,3,4,1,2,NA,3,4,5,5,5,5,3,"JNS","J","N","S","",3.72,1.28,1.28,-0.72,1.28,0.28,-0.72,0.28,-0.72,-1.72,-0.72,-2.72,1.28,1.28,1.28,-0.72,0.28,-2.72,-1.72,0.28,-0.72,0.28,1.28,1.28,1.28,1.28,-0.72,2.99623506927855,4.69809842331581,3.24468227424749,NA,NA,3.64633858894728
"GB06JH",5,4,3,5,4,4,4,4,4,5,5,4,5,5,4,4,3,4,4,3,3,2,2,2,2,2,"DKK",5,4,3,5,4,4,4,4,4,5,NA,4,5,5,4,4,3,4,4,3,3,2,2,2,2,2,"DKK","D","K","K","",3.64,1.36,0.36,-0.64,1.36,0.36,0.36,0.36,0.36,0.36,1.36,1.36,0.36,1.36,1.36,0.36,0.36,-0.64,0.36,0.36,-0.64,-0.64,-1.64,-1.64,-1.64,-1.64,-1.64,4.79126612517917,5.1142474916388,5.1142474916388,NA,NA,5.00658703615225
"AN01TO",4,2,4,3,4,2,2,1,1,5,3,5,5,2,2,2,2,2,5,4,1,3,1,3,2,1,"LMK",4,2,4,3,4,2,2,1,1,5,NA,5,5,2,2,2,2,2,5,4,1,3,1,3,2,1,"LMK","L","M","K","",2.72,1.28,-0.72,1.28,0.28,1.28,-0.72,-0.72,-1.72,-1.72,2.28,0.28,2.28,2.28,-0.72,-0.72,-0.72,-0.72,-0.72,2.28,1.28,-1.72,0.28,-1.72,0.28,-0.72,-1.72,4.73536550406116,4.03350215002389,3.1142474916388,NA,NA,3.96103838190795
"AE08TO",5,2,1,1,5,2,4,4,5,5,2,5,4,5,5,2,4,2,5,5,5,5,5,5,4,2,"J.L.",5,2,1,1,5,2,4,4,5,5,2,NA,4,5,5,2,4,2,5,5,5,5,5,5,4,2,"JL","J","L","","",3.76,1.24,-1.76,-2.76,-2.76,1.24,-1.76,0.24,0.24,1.24,1.24,-1.76,1.24,0.24,1.24,1.24,-1.76,0.24,-1.76,1.24,1.24,1.24,1.24,1.24,1.24,0.24,-1.76,4.99623506927855,4.73536550406116,NA,NA,NA,4.86580028666985
"SE06HL",4,3,3,3,2,2,4,2,2,4,4,3,3,3,4,2,4,2,4,3,4,4,2,4,2,3,"TJ",4,3,3,3,2,2,4,2,2,NA,4,3,3,3,4,2,4,2,4,3,4,4,2,4,2,3,"TJ","T","J","","",3.04,0.96,-0.04,-0.04,-0.04,-1.04,-1.04,0.96,-1.04,-1.04,0.96,0.96,-0.04,-0.04,-0.04,0.96,-1.04,0.96,-1.04,0.96,-0.04,0.96,0.96,-1.04,0.96,-1.04,-0.04,3.13909221213569,3.99623506927855,NA,NA,NA,3.56766364070712
"UE06UR",5,3,2,4,3,3,2,5,4,3,5,5,5,4,2,4,1,3,5,3,2,1,1,3,3,2,"PS",5,3,2,4,3,3,2,5,4,3,5,5,5,4,2,4,1,3,NA,3,2,1,1,3,3,2,"PS","P","S","","",3.12,1.88,-0.12,-1.12,0.88,-0.12,-0.12,-1.12,1.88,0.88,-0.12,1.88,1.88,1.88,0.88,-1.12,0.88,-2.12,-0.12,1.88,-0.12,-1.12,-2.12,-2.12,-0.12,-0.12,-1.12,4.10803631151457,4.24468227424749,NA,NA,NA,4.17635929288103
"CA06FI",5,4,5,4,5,5,5,5,4,3,3,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,"GLH",5,4,5,4,5,5,5,NA,4,3,3,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,"GLH","G","L","H","",4.6,0.4,-0.6,0.4,-0.6,0.4,0.4,0.4,0.4,-0.6,-1.6,-1.6,-0.6,0.4,0.4,0.4,0.4,-0.6,-0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,5.01486860965122,3.73536550406116,5.05213569039656,NA,NA,4.60078993470298
