"id","narq_1","narq_2","narq_3","narq_4","narq_5","narq_6","narq_8","narq_9","narq_10","narq_11","narq_12","narq_13","narq_14","narq_15","narq_18","narq_19","narq_20","narq_21","narq","narq_adm","narq_riv"
"PT02RC",4,3,4,1,3,3,3,1,2,2,3,1,3,1,1,1,1,1,2.11111111111111,2.33333333333333,1.88888888888889
"SL03HL",2,1,2,1,2,1,3,1,1,1,4,1,4,1,1,1,2,3,1.77777777777778,1.77777777777778,1.77777777777778
"AD12HU",4,2,3,2,4,3,4,2,3,2,1,1,2,1,2,3,2,4,2.5,3.11111111111111,1.88888888888889
"HL08RL",1,2,2,1,2,3,3,1,2,1,3,1,2,1,1,1,1,3,1.72222222222222,1.77777777777778,1.66666666666667
"SM06AD",4,2,2,1,5,3,2,1,2,2,5,2,1,1,2,2,1,4,2.33333333333333,2.66666666666667,2
"UE03HN",3,4,4,4,4,4,4,3,4,4,2,3,2,1,3,4,3,3,3.27777777777778,3.55555555555556,3
"AN03OT",3,2,4,2,2,3,5,2,1,1,3,2,3,1,3,4,0,3,2.44444444444444,3.11111111111111,1.77777777777778
"CN10MC",2,1,2,1,2,3,2,1,3,4,1,1,2,1,1,2,1,2,1.77777777777778,1.66666666666667,1.88888888888889
"SS08CR",4,3,2,2,4,1,4,2,1,1,3,2,1,1,4,3,1,3,2.33333333333333,3.22222222222222,1.44444444444444
"DN09BR",3,2,3,4,2,5,2,1,3,2,5,4,1,1,2,2,1,3,2.55555555555556,2.22222222222222,2.88888888888889
"NN08SE",4,1,5,1,4,3,4,2,1,4,5,1,1,1,4,4,1,4,2.77777777777778,3.55555555555556,2
"CR09SE",4,2,3,1,3,2,3,3,1,1,2,1,2,1,1,1,1,3,1.94444444444444,2.55555555555556,1.33333333333333
"KR08EI",3,2,3,1,4,2,4,2,2,1,1,2,4,1,1,1,4,4,2.33333333333333,2.66666666666667,2
"BA08AD",2,1,1,1,4,1,1,1,3,1,4,3,1,1,1,1,1,3,1.72222222222222,1.66666666666667,1.77777777777778
"KR04SB",5,5,4,1,1,2,5,5,1,1,1,1,1,1,5,4,1,3,2.61111111111111,4.11111111111111,1.11111111111111
"RG12CR",4,2,3,2,4,2,4,2,1,3,2,2,3,1,2,3,1,3,2.44444444444444,3,1.88888888888889
