"id","npi_1","npi_2","npi_3","npi_4","npi_5","npi_6","npi_7","npi_8","npi_9","npi_10","npi_11","npi_12","npi_13","npi_1r","npi_2r","npi_3r","npi_4r","npi_5r","npi_6r","npi_7r","npi_8r","npi_9r","npi_10r","npi_11r","npi_12r","npi_13r","gnpi_la","gnpi_ge","gnpi_ee","gnpi"
"BO08FA",1,2,2,1,1,1,2,2,1,1,2,2,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0.75,0.6,0.5,0.615384615384615
"EI06AE",2,2,1,2,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.2,0.25,0.153846153846154
"SE01EI",2,2,1,2,1,2,2,1,1,2,2,2,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0.6,0.25,0.307692307692308
"SF06IM",1,1,2,2,1,1,2,1,1,2,2,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0.75,0.4,0.5,0.538461538461538
"DR02RL",1,2,1,2,1,1,1,1,2,2,1,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0.25,0,0.25,0.153846153846154
"UE05TO",2,2,1,2,1,2,2,1,1,2,2,2,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.6,0,0.230769230769231
"RZ12JN",1,2,2,2,1,2,2,2,1,1,2,1,2,1,0,1,0,0,1,1,1,1,1,0,1,0,0.5,0.8,0.5,0.615384615384615
"TN10HL",1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0.2,1,0.692307692307692
"MR11HI",2,2,2,2,1,2,2,1,1,1,1,2,2,0,0,1,0,0,1,1,0,1,1,1,0,0,0.25,0.6,0.5,0.461538461538462
"AT04IA",2,2,1,2,1,1,1,1,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0.0769230769230769
"SN02VL",2,2,1,2,1,1,1,1,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5,0.153846153846154
"LN07AD",2,2,1,2,1,2,2,2,1,2,1,2,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0.8,0.5,0.461538461538462
"FH01FO",2,2,1,2,1,2,2,1,1,2,2,2,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.6,0,0.230769230769231
"AD09JN",2,2,1,2,1,1,2,1,1,2,2,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.4,0,0.153846153846154
"KT12SE",1,2,1,2,1,1,2,1,2,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0.2,0,0.153846153846154
"ML07SE",1,1,2,2,1,1,1,1,2,1,2,2,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0.75,0,0.5,0.384615384615385
"AG12SE",1,2,2,1,1,1,1,1,1,1,2,2,2,1,0,1,1,0,0,0,0,1,1,0,0,0,0.75,0.2,0.25,0.384615384615385
